Wall time,Step,Value
1736635363.5419273,595,80.0
1736635366.8037138,596,77.0
1736635368.0558171,597,30.0
1736635369.4681895,598,34.0
1736635374.3501823,600,29.0
1736635378.471069,602,12.0
1736635378.8985918,603,10.0
1736635379.7827587,604,21.0
1736635382.7021413,606,37.0
1736635389.5671644,608,80.0
1736635395.2786026,610,80.0
1736635396.6539109,611,33.0
1736635400.3144443,612,80.0
1736635409.0324795,615,80.0
1736635415.8321805,619,80.0
1736635418.9800708,620,75.0
1736635420.294567,621,31.0
1736635421.704345,622,34.0
1736635425.0678852,623,80.0
1736635429.693578,625,26.0
1736635433.339733,626,80.0
1736635439.4523277,629,80.0
1736635441.35167,630,45.0
1736635448.5842576,632,80.0
1736635452.6376784,634,80.0
1736635455.9863522,635,80.0
1736635464.4419322,638,80.0
1736635469.6226313,640,43.0
1736635473.0082836,641,80.0
1736635476.372591,642,80.0
1736635481.907115,644,48.0
1736635485.2144055,645,80.0
1736635487.6903572,646,58.0
1736635491.077677,647,80.0
1736635492.0391564,648,23.0
1736635493.0205624,649,20.0
1736635496.3300705,650,75.0
1736635499.204122,651,69.0
1736635502.8563855,652,80.0
1736635516.8773637,656,80.0
1736635520.29149,657,80.0
1736635525.7849996,659,46.0
1736635532.6017284,661,80.0
1736635536.3103702,662,80.0
1736635540.1397927,663,80.0
1736635543.5570428,664,80.0
1736635544.1921167,665,15.0
1736635547.4860678,666,80.0
1736635549.6844246,667,53.0
1736635552.3188686,668,61.0
1736635555.9943426,669,80.0
1736635562.779272,671,80.0
1736635566.2758317,672,80.0
1736635569.92876,673,80.0
1736635573.255234,674,80.0
1736635576.6068716,675,80.0
1736635583.6162472,677,80.0
1736635584.339332,678,17.0
1736635587.745441,679,80.0
1736635594.602883,681,80.0
1736635598.1587422,682,80.0
1736635601.6275012,683,80.0
1736635602.2229383,684,14.0
1736635605.549318,685,80.0
1736635609.0231645,686,80.0
1736635612.425652,687,80.0
1736635615.833448,688,80.0
1736635619.246676,689,80.0
1736635626.757045,692,80.0
1736635633.5033762,694,80.0
1736635640.3720462,696,80.0
1736635650.2859387,699,80.0
1736635653.9131904,700,80.0
1736635657.3152833,701,80.0
1736635661.0842588,702,80.0
1736635664.5141926,703,80.0
1736635668.1405993,704,80.0
1736635671.7530088,705,80.0
1736635675.653915,706,80.0
1736635679.3434043,707,80.0
1736635683.2847385,708,80.0
1736635686.8953295,709,80.0
1736635690.6891975,710,80.0
1736635694.2651722,711,80.0
1736635704.1840312,714,64.0
1736635707.437381,715,80.0
1736635717.4071827,718,80.0
1736635720.6662936,719,80.0
1736635727.0528064,721,80.0
1736635730.3191984,722,80.0
1736635733.7340977,723,80.0
1736635737.0514188,724,80.0
1736635740.4611363,725,80.0
1736635743.7139318,726,80.0
1736635751.3421733,729,80.0
1736635754.758339,730,80.0
1736635758.0365107,731,80.0
1736635771.184527,735,80.0
1736635774.6673691,736,80.0
1736635781.146059,738,80.0
1736635784.376332,739,80.0
1736635787.757465,740,80.0
1736635789.1603355,741,31.0
1736635796.593464,743,80.0
1736635807.6876545,746,80.0
1736635811.3763723,747,80.0
1736635816.9813492,749,80.0
1736635820.3993702,750,80.0
1736635823.7738981,751,80.0
1736635827.6100206,752,80.0
1736635831.3291469,753,80.0
1736635834.952641,754,80.0
1736635838.624075,755,80.0
1736635841.9531548,756,80.0
1736635852.6191158,759,80.0
1736635856.0521464,760,80.0
1736635863.252315,762,80.0
